type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.baggage,arrival.gate,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.terminal,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay
departure,active,sou,eghi,8a,44.0,2022-04-06t17:20:00.000,2022-04-06t17:35:00.000,2022-04-06t18:04:00.000,2022-04-06t18:04:00.000,2022-04-06t18:04:00.000,ams,eham,11,a08,2022-04-06t19:35:00.000,2022-04-06t19:52:00.000,klm,kl,klm,920,kl920,klm920,,,,,17.0
departure,active,sou,eghi,,90.0,2022-04-07t17:20:00.000,2022-04-07t18:50:00.000,,,,ams,eham,13,a08,2022-04-07t19:35:00.000,,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,30.0,2022-04-08t17:20:00.000,2022-04-08t17:50:00.000,,,,ams,eham,11,a08,2022-04-08t19:35:00.000,,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8a,18.0,2022-04-09t17:20:00.000,2022-04-09t17:30:00.000,2022-04-09t17:38:00.000,2022-04-09t17:38:00.000,2022-04-09t17:38:00.000,ams,eham,10,a08,2022-04-09t19:35:00.000,2022-04-09t19:27:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,27.0,2022-04-10t17:20:00.000,2022-04-10t17:20:00.000,2022-04-10t17:46:00.000,2022-04-10t17:46:00.000,2022-04-10t17:46:00.000,ams,eham,12,a08,2022-04-10t19:35:00.000,2022-04-10t19:25:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,19.0,2022-04-11t17:20:00.000,2022-04-11t17:20:00.000,2022-04-11t17:39:00.000,2022-04-11t17:39:00.000,2022-04-11t17:39:00.000,ams,eham,9,a08,2022-04-11t19:35:00.000,2022-04-11t19:22:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,,2022-04-12t17:20:00.000,2022-04-12t17:20:00.000,2022-04-12t17:19:00.000,2022-04-12t17:19:00.000,2022-04-12t17:19:00.000,ams,eham,13,a08,2022-04-12t19:35:00.000,2022-04-12t19:06:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,12.0,2022-04-13t17:20:00.000,2022-04-13t17:20:00.000,2022-04-13t17:31:00.000,2022-04-13t17:31:00.000,2022-04-13t17:31:00.000,ams,eham,11,d04,2022-04-13t19:35:00.000,2022-04-13t19:22:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,13.0,2022-04-14t17:20:00.000,2022-04-14t17:20:00.000,2022-04-14t17:32:00.000,2022-04-14t17:32:00.000,2022-04-14t17:32:00.000,ams,eham,12,d31,2022-04-14t19:35:00.000,2022-04-14t19:23:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,8.0,2022-04-15t17:20:00.000,2022-04-15t17:28:00.000,2022-04-15t17:28:00.000,2022-04-15t17:28:00.000,2022-04-15t17:28:00.000,ams,eham,12,a08,2022-04-15t19:35:00.000,2022-04-15t19:18:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,3.0,2022-04-16t17:20:00.000,2022-04-16t17:20:00.000,2022-04-16t17:23:00.000,2022-04-16t17:23:00.000,2022-04-16t17:23:00.000,ams,eham,12,d29,2022-04-16t19:35:00.000,2022-04-16t19:14:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,10.0,2022-04-17t17:20:00.000,2022-04-17t17:20:00.000,2022-04-17t17:29:00.000,2022-04-17t17:29:00.000,2022-04-17t17:29:00.000,ams,eham,12,a08,2022-04-17t19:35:00.000,2022-04-17t19:15:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,16.0,2022-04-18t17:20:00.000,2022-04-18t17:20:00.000,2022-04-18t17:36:00.000,2022-04-18t17:36:00.000,2022-04-18t17:36:00.000,ams,eham,10,a08,2022-04-18t19:35:00.000,2022-04-18t19:24:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,15.0,2022-04-20t17:20:00.000,2022-04-20t17:35:00.000,,,,ams,eham,11,a08,2022-04-20t19:35:00.000,,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,7,20.0,2022-04-21t17:20:00.000,2022-04-21t17:27:00.000,2022-04-21t17:39:00.000,2022-04-21t17:39:00.000,2022-04-21t17:39:00.000,ams,eham,10,a08,2022-04-21t19:35:00.000,2022-04-21t19:30:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,70.0,2022-04-22t17:20:00.000,2022-04-22t18:30:00.000,,,,ams,eham,9,a08,2022-04-22t19:35:00.000,,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,45.0,2022-04-23t17:20:00.000,2022-04-23t18:05:00.000,,,,ams,eham,10,d18,2022-04-23t19:35:00.000,,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,107.0,2022-04-24t17:20:00.000,2022-04-24t19:07:00.000,,,,ams,eham,13,a08,2022-04-24t19:35:00.000,,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,47.0,2022-04-25t17:20:00.000,2022-04-25t18:07:00.000,,,,ams,eham,11,a08,2022-04-25t19:35:00.000,,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,110.0,2022-04-26t17:20:00.000,2022-04-26t19:10:00.000,,,,ams,eham,12,a08,2022-04-26t19:35:00.000,,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8a,30.0,2022-04-27t17:20:00.000,2022-04-27t17:50:00.000,2022-04-27t17:49:00.000,2022-04-27t17:49:00.000,2022-04-27t17:49:00.000,ams,eham,9,a08,2022-04-27t19:35:00.000,2022-04-27t19:39:00.000,klm,kl,klm,920,kl920,klm920,,,,,4.0
departure,active,sou,eghi,8,36.0,2022-04-28t17:20:00.000,2022-04-28t17:35:00.000,2022-04-28t17:55:00.000,2022-04-28t17:55:00.000,2022-04-28t17:55:00.000,ams,eham,16,a08,2022-04-28t19:35:00.000,2022-04-28t19:46:00.000,klm,kl,klm,920,kl920,klm920,2,,,,12.0
departure,active,sou,eghi,8,36.0,2022-04-29t17:20:00.000,2022-04-29t17:35:00.000,2022-04-29t17:55:00.000,2022-04-29t17:55:00.000,2022-04-29t17:55:00.000,ams,eham,12,a08,2022-04-29t19:35:00.000,2022-04-29t19:44:00.000,klm,kl,klm,920,kl920,klm920,2,,,,10.0
departure,active,sou,eghi,8,16.0,2022-04-30t17:20:00.000,2022-04-30t17:36:00.000,2022-04-30t17:36:00.000,2022-04-30t17:36:00.000,2022-04-30t17:36:00.000,ams,eham,13,d23,2022-04-30t19:35:00.000,2022-04-30t19:21:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,20.0,2022-05-01t17:20:00.000,2022-05-01t17:40:00.000,,,,ams,eham,9,a08,2022-05-01t19:35:00.000,,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8a,19.0,2022-05-02t17:20:00.000,2022-05-02t17:20:00.000,2022-05-02t17:38:00.000,2022-05-02t17:38:00.000,2022-05-02t17:38:00.000,ams,eham,12,a08,2022-05-02t19:35:00.000,2022-05-02t19:33:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,13.0,2022-05-03t17:20:00.000,2022-05-03t17:32:00.000,2022-05-03t17:32:00.000,2022-05-03t17:32:00.000,2022-05-03t17:32:00.000,ams,eham,13,a08,2022-05-03t19:35:00.000,2022-05-03t19:22:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,17.0,2022-05-04t17:20:00.000,2022-05-04t17:20:00.000,2022-05-04t17:37:00.000,2022-05-04t17:37:00.000,2022-05-04t17:37:00.000,ams,eham,9,a08,2022-05-04t19:35:00.000,2022-05-04t19:28:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,9.0,2022-05-05t17:20:00.000,2022-05-05t17:20:00.000,2022-05-05t17:29:00.000,2022-05-05t17:29:00.000,2022-05-05t17:29:00.000,ams,eham,11,a08,2022-05-05t19:35:00.000,2022-05-05t19:16:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,,2022-05-06t17:20:00.000,2022-05-06t17:20:00.000,,,,ams,eham,11,d23,2022-05-06t19:35:00.000,,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,17.0,2022-05-07t17:20:00.000,2022-05-07t17:36:00.000,2022-05-07t17:36:00.000,2022-05-07t17:36:00.000,2022-05-07t17:36:00.000,ams,eham,12,a08,2022-05-07t19:35:00.000,2022-05-07t19:27:00.000,klm,kl,klm,920,kl920,klm920,3,,,,
departure,active,sou,eghi,8,13.0,2022-05-08t17:20:00.000,2022-05-08t17:20:00.000,2022-05-08t17:33:00.000,2022-05-08t17:33:00.000,2022-05-08t17:33:00.000,ams,eham,10,a08,2022-05-08t19:35:00.000,2022-05-08t19:25:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
