type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.baggage,arrival.gate,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.delay
departure,active,bhd,egac,7,30.0,2022-02-21t17:20:00.000,2022-02-21t17:25:00.000,2022-02-21t17:50:00.000,2022-02-21t17:50:00.000,2022-02-21t17:50:00.000,ams,eham,,8,a08,2022-02-21t19:55:00.000,2022-02-21t19:57:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,2.0
departure,active,bhd,egac,7,8.0,2022-02-25t17:20:00.000,2022-02-25t17:25:00.000,2022-02-25t17:28:00.000,2022-02-25t17:28:00.000,2022-02-25t17:28:00.000,ams,eham,2,10,d23,2022-02-25t19:55:00.000,2022-02-25t19:37:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,8.0,2022-02-27t17:20:00.000,2022-02-27t17:26:00.000,2022-02-27t17:28:00.000,2022-02-27t17:28:00.000,2022-02-27t17:28:00.000,ams,eham,,11,d23,2022-02-27t19:55:00.000,2022-02-27t19:48:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,19.0,2022-02-28t17:20:00.000,2022-02-28t17:38:00.000,2022-02-28t17:38:00.000,2022-02-28t17:38:00.000,2022-02-28t17:38:00.000,ams,eham,2,10,d25,2022-02-28t19:55:00.000,2022-02-28t19:46:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,6.0,2022-03-03t17:20:00.000,2022-03-03t17:20:00.000,2022-03-03t17:26:00.000,2022-03-03t17:26:00.000,2022-03-03t17:26:00.000,ams,eham,2,9,d04,2022-03-03t19:55:00.000,2022-03-03t19:37:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,3.0,2022-03-06t17:20:00.000,2022-03-06t17:20:00.000,2022-03-06t17:22:00.000,2022-03-06t17:22:00.000,2022-03-06t17:22:00.000,ams,eham,,9,a08,2022-03-06t19:55:00.000,2022-03-06t19:44:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,2.0,2022-03-07t17:20:00.000,2022-03-07t17:21:00.000,2022-03-07t17:21:00.000,2022-03-07t17:21:00.000,2022-03-07t17:21:00.000,ams,eham,2,11,d24,2022-03-07t19:55:00.000,2022-03-07t19:39:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,12.0,2022-03-10t17:20:00.000,2022-03-10t17:20:00.000,2022-03-10t17:32:00.000,2022-03-10t17:32:00.000,2022-03-10t17:32:00.000,ams,eham,2,12,d27,2022-03-10t19:55:00.000,2022-03-10t19:44:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,10.0,2022-03-13t17:20:00.000,2022-03-13t17:20:00.000,2022-03-13t17:29:00.000,2022-03-13t17:29:00.000,2022-03-13t17:29:00.000,ams,eham,2,10,d14,2022-03-13t19:55:00.000,2022-03-13t19:42:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,,2022-03-14t17:20:00.000,2022-03-14t17:20:00.000,2022-03-14t17:17:00.000,2022-03-14t17:17:00.000,2022-03-14t17:17:00.000,ams,eham,,13,a08,2022-03-14t19:55:00.000,2022-03-14t19:20:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,8,14.0,2022-03-16t17:20:00.000,2022-03-16t17:20:00.000,2022-03-16t17:33:00.000,2022-03-16t17:33:00.000,2022-03-16t17:33:00.000,ams,eham,2,10,d31,2022-03-16t19:55:00.000,2022-03-16t19:49:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,8.0,2022-03-17t17:20:00.000,2022-03-17t17:28:00.000,,,,ams,eham,,9,a08,2022-03-17t19:55:00.000,,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,10.0,2022-03-18t17:20:00.000,2022-03-18t17:20:00.000,2022-03-18t17:30:00.000,2022-03-18t17:30:00.000,2022-03-18t17:30:00.000,ams,eham,,9,a08,2022-03-18t19:55:00.000,2022-03-18t19:44:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,1.0,2022-03-20t17:20:00.000,2022-03-20t17:20:00.000,2022-03-20t17:20:00.000,2022-03-20t17:20:00.000,2022-03-20t17:20:00.000,ams,eham,2,11,d25,2022-03-20t19:55:00.000,2022-03-20t19:36:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,7.0,2022-03-21t17:20:00.000,2022-03-21t17:28:00.000,2022-03-21t17:27:00.000,2022-03-21t17:27:00.000,2022-03-21t17:27:00.000,ams,eham,2,11,d27,2022-03-21t19:55:00.000,2022-03-21t19:40:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,6.0,2022-03-22t17:20:00.000,2022-03-22t17:20:00.000,2022-03-22t17:26:00.000,2022-03-22t17:26:00.000,2022-03-22t17:26:00.000,ams,eham,,8,a08,2022-03-22t19:55:00.000,2022-03-22t19:37:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,1.0,2022-03-24t17:20:00.000,2022-03-24t17:12:00.000,2022-03-24t17:20:00.000,2022-03-24t17:20:00.000,2022-03-24t17:20:00.000,ams,eham,2,13,a08,2022-03-24t19:55:00.000,2022-03-24t19:31:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,7.0,2022-03-25t17:20:00.000,2022-03-25t17:20:00.000,2022-03-25t17:27:00.000,2022-03-25t17:27:00.000,2022-03-25t17:27:00.000,ams,eham,2,13,a08,2022-03-25t19:55:00.000,2022-03-25t19:42:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,19.0,2022-03-27t17:15:00.000,2022-03-27t17:20:00.000,2022-03-27t17:33:00.000,2022-03-27t17:33:00.000,2022-03-27t17:33:00.000,ams,eham,2,11,d29,2022-03-27t19:50:00.000,2022-03-27t19:48:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
