type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.baggage,arrival.terminal,departure.delay,arrival.delay,arrival.gate,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway
departure,active,ext,egte,2022-02-26t06:00:00.000,,,,,cmf,lflb,2022-02-26t08:45:00.000,,tui airways,by,tom,6620,by6620,tom6620,,,,,,,,
departure,active,ext,egte,2022-02-28t09:45:00.000,,,,,lpa,gclp,2022-02-28t13:45:00.000,,tui airways,by,tom,6170,by6170,tom6170,37,,,,,,,
departure,active,ext,egte,2022-03-05t17:35:00.000,2022-03-05t17:35:00.000,2022-03-05t17:57:00.000,2022-03-05t17:57:00.000,2022-03-05t17:57:00.000,alc,leal,2022-03-05t20:50:00.000,2022-03-05t20:44:00.000,ryanair,fr,ryr,2797,fr2797,ryr2797,,,22.0,,,,,
departure,active,ext,egte,2022-03-06t09:30:00.000,2022-03-06t09:30:00.000,2022-03-06t09:32:00.000,2022-03-06t09:32:00.000,2022-03-06t09:32:00.000,agp,lemg,2022-03-06t13:00:00.000,2022-03-06t12:37:00.000,ryanair,fr,ryr,3524,fr3524,ryr3524,,,2.0,,,,,
departure,active,ext,egte,2022-03-12t17:35:00.000,2022-03-12t17:35:00.000,2022-03-12t17:36:00.000,2022-03-12t17:36:00.000,2022-03-12t17:36:00.000,alc,leal,2022-03-12t20:50:00.000,,ryanair,fr,ryr,2797,fr2797,ryr2797,,,2.0,,,,,
departure,active,ext,egte,2022-03-13t09:30:00.000,2022-03-13t09:30:00.000,2022-03-13t09:40:00.000,2022-03-13t09:40:00.000,2022-03-13t09:40:00.000,agp,lemg,2022-03-13t13:00:00.000,2022-03-13t12:48:00.000,ryanair,fr,ryr,3524,fr3524,ryr3524,,,10.0,,,,,
departure,active,ext,egte,2022-03-19t17:35:00.000,2022-03-19t17:35:00.000,,,,alc,leal,2022-03-19t20:50:00.000,,ryanair,fr,ryr,2797,fr2797,ryr2797,3b,,,,,,,
departure,active,ext,egte,2022-03-20t09:30:00.000,2022-03-20t09:30:00.000,2022-03-20t09:32:00.000,2022-03-20t09:32:00.000,2022-03-20t09:32:00.000,agp,lemg,2022-03-20t13:00:00.000,2022-03-20t12:39:00.000,ryanair,fr,ryr,3524,fr3524,ryr3524,,,3.0,,,,,
departure,active,ext,egte,2022-03-26t17:35:00.000,2022-03-26t17:35:00.000,2022-03-26t17:44:00.000,2022-03-26t17:44:00.000,2022-03-26t17:44:00.000,alc,leal,2022-03-26t20:50:00.000,2022-03-26t20:56:00.000,ryanair,fr,ryr,2797,fr2797,ryr2797,5b,,9.0,7.0,,,,
departure,active,ext,egte,2022-03-27t08:55:00.000,2022-03-27t08:55:00.000,2022-03-27t09:06:00.000,2022-03-27t09:06:00.000,2022-03-27t09:06:00.000,agp,lemg,2022-03-27t12:25:00.000,2022-03-27t12:16:00.000,ryanair,fr,ryr,3524,fr3524,ryr3524,,,11.0,,,,,
departure,active,ext,egte,2022-03-29t19:45:00.000,2022-03-29t19:45:00.000,2022-03-29t20:00:00.000,2022-03-29t20:00:00.000,2022-03-29t20:00:00.000,alc,leal,2022-03-29t23:05:00.000,2022-03-29t23:11:00.000,ryanair,fr,ryr,2797,fr2797,ryr2797,3b,,16.0,6.0,,,,
departure,active,ext,egte,2022-03-30t08:55:00.000,2022-03-30t08:55:00.000,,,,agp,lemg,2022-03-30t12:25:00.000,,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-03-03t07:00:00.000,,,,,ace,gcrr,2022-03-03t10:50:00.000,,tui airways,by,tom,6462,by6462,tom6462,2,1,,,,,,
departure,active,ext,egte,2022-03-05t06:00:00.000,,,,,cmf,lflb,2022-03-05t08:45:00.000,,tui airways,by,tom,6620,by6620,tom6620,,,,,,,,
departure,unknown,ext,egte,2022-03-10t07:00:00.000,,,,,ace,gcrr,2022-03-10t10:50:00.000,,tui airways,by,tom,6462,by6462,tom6462,4,1,,,,,,
departure,active,ext,egte,2022-03-12t06:00:00.000,,,,,cmf,lflb,2022-03-12t08:45:00.000,,tui airways,by,tom,6620,by6620,tom6620,,,,,,,,
departure,active,ext,egte,2022-03-17t07:00:00.000,,,,,ace,gcrr,2022-03-17t10:50:00.000,,tui airways,by,tom,6462,by6462,tom6462,4,1,,,,,,
departure,unknown,ext,egte,2022-03-24t07:00:00.000,,,,,ace,gcrr,2022-03-24t10:50:00.000,,tui airways,by,tom,6462,by6462,tom6462,3,1,,,,,,
