type,status,departure.iataCode,departure.icaoCode,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.terminal,arrival.baggage,arrival.delay,departure.gate,arrival.gate,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber
departure,active,bfs,egaa,8.0,2022-01-15t09:40:00.000,2022-01-15t09:40:00.000,2022-01-15t09:48:00.000,2022-01-15t09:48:00.000,2022-01-15t09:48:00.000,fue,gcfv,2022-01-15t14:10:00.000,2022-01-15t13:54:00.000,jet2,ls,exs,307,ls307,exs307,,4,,,,,,,,,
departure,active,bfs,egaa,22.0,2022-01-16t08:20:00.000,2022-01-16t08:20:00.000,2022-01-16t08:42:00.000,2022-01-16t08:42:00.000,2022-01-16t08:42:00.000,ace,gcrr,2022-01-16t12:50:00.000,2022-01-16t12:39:00.000,jet2,ls,exs,309,ls309,exs309,1,5,,,,,,,,,
departure,active,bfs,egaa,6.0,2022-01-16t09:40:00.000,2022-01-16t09:40:00.000,2022-01-16t09:46:00.000,2022-01-16t09:46:00.000,2022-01-16t09:46:00.000,lpa,gclp,2022-01-16t14:15:00.000,2022-01-16t14:04:00.000,jet2,ls,exs,371,ls371,exs371,,36,,,,,,,,,
departure,active,bfs,egaa,5.0,2022-01-17t08:30:00.000,2022-01-17t08:30:00.000,2022-01-17t08:35:00.000,2022-01-17t08:35:00.000,2022-01-17t08:35:00.000,tfs,gcts,2022-01-17t13:10:00.000,2022-01-17t12:50:00.000,jet2,ls,exs,381,ls381,exs381,,a6,,,,,,,,,
departure,active,bfs,egaa,23.0,2022-01-18t08:20:00.000,2022-01-18t08:20:00.000,2022-01-18t08:43:00.000,2022-01-18t08:43:00.000,2022-01-18t08:43:00.000,ace,gcrr,2022-01-18t12:50:00.000,2022-01-18t12:45:00.000,jet2,ls,exs,309,ls309,exs309,1,5,,,,,,,,,
departure,active,bfs,egaa,11.0,2022-01-18t08:30:00.000,2022-01-18t08:30:00.000,2022-01-18t08:40:00.000,2022-01-18t08:40:00.000,2022-01-18t08:40:00.000,tfs,gcts,2022-01-18t13:10:00.000,2022-01-18t12:52:00.000,jet2,ls,exs,381,ls381,exs381,,a6,,,,,,,,,
departure,active,bfs,egaa,10.0,2022-01-19t09:35:00.000,2022-01-19t09:35:00.000,2022-01-19t09:44:00.000,2022-01-19t09:44:00.000,2022-01-19t09:44:00.000,fue,gcfv,2022-01-19t14:05:00.000,2022-01-19t13:45:00.000,jet2,ls,exs,307,ls307,exs307,,3,,,,,,,,,
departure,active,bfs,egaa,12.0,2022-01-20t08:20:00.000,2022-01-20t08:20:00.000,2022-01-20t08:32:00.000,2022-01-20t08:32:00.000,2022-01-20t08:32:00.000,ace,gcrr,2022-01-20t12:50:00.000,2022-01-20t12:30:00.000,jet2,ls,exs,309,ls309,exs309,1,2,,,,,,,,,
departure,active,bfs,egaa,18.0,2022-01-20t08:30:00.000,2022-01-20t08:30:00.000,2022-01-20t08:48:00.000,2022-01-20t08:48:00.000,2022-01-20t08:48:00.000,tfs,gcts,2022-01-20t13:10:00.000,2022-01-20t12:58:00.000,jet2,ls,exs,381,ls381,exs381,,a4,,,,,,,,,
departure,active,bfs,egaa,11.0,2022-01-20t09:40:00.000,2022-01-20t09:40:00.000,2022-01-20t09:50:00.000,2022-01-20t09:50:00.000,2022-01-20t09:50:00.000,lpa,gclp,2022-01-20t14:15:00.000,2022-01-20t14:06:00.000,jet2,ls,exs,371,ls371,exs371,,35,,,,,,,,,
departure,active,bfs,egaa,16.0,2022-01-21t08:30:00.000,2022-01-21t08:30:00.000,2022-01-21t08:45:00.000,2022-01-21t08:45:00.000,2022-01-21t08:45:00.000,tfs,gcts,2022-01-21t13:10:00.000,2022-01-21t12:58:00.000,jet2,ls,exs,381,ls381,exs381,,a7,,,,,,,,,
departure,active,bfs,egaa,12.0,2022-01-22t07:45:00.000,2022-01-22t07:45:00.000,2022-01-22t07:56:00.000,2022-01-22t07:56:00.000,2022-01-22t07:56:00.000,szg,lows,2022-01-22t11:25:00.000,2022-01-22t11:01:00.000,jet2,ls,exs,345,ls345,exs345,,,,,,,,,,,
departure,active,bfs,egaa,25.0,2022-01-22t08:30:00.000,2022-01-22t08:30:00.000,2022-01-22t08:54:00.000,2022-01-22t08:54:00.000,2022-01-22t08:54:00.000,tfs,gcts,2022-01-22t13:10:00.000,2022-01-22t13:07:00.000,jet2,ls,exs,381,ls381,exs381,,b4,,,,,,,,,
departure,active,bfs,egaa,16.0,2022-01-22t09:40:00.000,2022-01-22t09:40:00.000,2022-01-22t09:56:00.000,2022-01-22t09:56:00.000,2022-01-22t09:56:00.000,fue,gcfv,2022-01-22t14:10:00.000,2022-01-22t14:00:00.000,jet2,ls,exs,307,ls307,exs307,,4,,,,,,,,,
departure,active,bfs,egaa,5.0,2022-01-23t08:20:00.000,2022-01-23t08:20:00.000,2022-01-23t08:25:00.000,2022-01-23t08:25:00.000,2022-01-23t08:25:00.000,ace,gcrr,2022-01-23t12:50:00.000,2022-01-23t12:24:00.000,jet2,ls,exs,309,ls309,exs309,1,4,,,,,,,,,
departure,active,bfs,egaa,,2022-01-23t09:40:00.000,2022-01-23t09:40:00.000,,,,lpa,gclp,2022-01-23t14:15:00.000,,jet2,ls,exs,371,ls371,exs371,,36,,,,,,,,,
departure,active,bfs,egaa,6.0,2022-01-24t08:30:00.000,2022-01-24t08:30:00.000,2022-01-24t08:35:00.000,2022-01-24t08:35:00.000,2022-01-24t08:35:00.000,tfs,gcts,2022-01-24t13:10:00.000,2022-01-24t12:48:00.000,jet2,ls,exs,381,ls381,exs381,,a3,,,,,,,,,
departure,active,bfs,egaa,8.0,2022-01-25t08:20:00.000,2022-01-25t08:20:00.000,2022-01-25t08:27:00.000,2022-01-25t08:27:00.000,2022-01-25t08:27:00.000,ace,gcrr,2022-01-25t12:50:00.000,2022-01-25t12:24:00.000,jet2,ls,exs,309,ls309,exs309,1,5,,,,,,,,,
departure,active,bfs,egaa,13.0,2022-01-25t08:30:00.000,2022-01-25t08:30:00.000,2022-01-25t08:43:00.000,2022-01-25t08:43:00.000,2022-01-25t08:43:00.000,tfs,gcts,2022-01-25t13:10:00.000,2022-01-25t12:54:00.000,jet2,ls,exs,381,ls381,exs381,,a2,,,,,,,,,
departure,active,bfs,egaa,5.0,2022-01-26t09:35:00.000,2022-01-26t09:35:00.000,2022-01-26t09:39:00.000,2022-01-26t09:39:00.000,2022-01-26t09:39:00.000,fue,gcfv,2022-01-26t14:05:00.000,2022-01-26t13:43:00.000,jet2,ls,exs,307,ls307,exs307,,6,,,,,,,,,
departure,active,bfs,egaa,12.0,2022-01-27t08:20:00.000,2022-01-27t08:20:00.000,2022-01-27t08:32:00.000,2022-01-27t08:32:00.000,2022-01-27t08:32:00.000,ace,gcrr,2022-01-27t12:50:00.000,2022-01-27t12:28:00.000,jet2,ls,exs,309,ls309,exs309,1,3,,,,,,,,,
departure,active,bfs,egaa,16.0,2022-01-27t08:30:00.000,2022-01-27t08:30:00.000,2022-01-27t08:46:00.000,2022-01-27t08:46:00.000,2022-01-27t08:46:00.000,tfs,gcts,2022-01-27t13:10:00.000,2022-01-27t12:58:00.000,jet2,ls,exs,381,ls381,exs381,,a6,,,,,,,,,
departure,active,bfs,egaa,14.0,2022-01-27t09:40:00.000,2022-01-27t09:40:00.000,2022-01-27t09:54:00.000,2022-01-27t09:54:00.000,2022-01-27t09:54:00.000,lpa,gclp,2022-01-27t14:15:00.000,2022-01-27t14:06:00.000,jet2,ls,exs,371,ls371,exs371,,41,,,,,,,,,
departure,active,bfs,egaa,7.0,2022-01-28t08:30:00.000,2022-01-28t08:30:00.000,2022-01-28t08:36:00.000,2022-01-28t08:36:00.000,2022-01-28t08:36:00.000,tfs,gcts,2022-01-28t13:10:00.000,2022-01-28t12:43:00.000,jet2,ls,exs,381,ls381,exs381,,a7,,,,,,,,,
departure,active,bfs,egaa,7.0,2022-01-29t07:45:00.000,2022-01-29t07:45:00.000,2022-01-29t07:51:00.000,2022-01-29t07:51:00.000,2022-01-29t07:51:00.000,szg,lows,2022-01-29t11:25:00.000,2022-01-29t10:50:00.000,jet2,ls,exs,345,ls345,exs345,,,,,,,,,,,
