type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.gate,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.baggage,arrival.gate,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber
departure,active,gla,egpf,m,7c,2022-01-14t08:40:00.000,2022-01-14t08:40:00.000,2022-01-14t08:36:00.000,2022-01-14t08:36:00.000,2022-01-14t08:36:00.000,dub,eidw,1,4,109,2022-01-14t09:40:00.000,2022-01-14t09:14:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,,,,,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-14t21:40:00.000,2022-01-14t21:40:00.000,2022-01-14t21:45:00.000,2022-01-14t21:45:00.000,2022-01-14t21:45:00.000,dub,eidw,1,5,109,2022-01-14t22:40:00.000,2022-01-14t22:26:00.000,ryanair,fr,ryr,5775,fr5775,ryr5775,6.0,2022-01-14t22:25:00.000,2022-01-14t22:25:00.000,2022-01-14t22:25:00.000,,,,,,,
departure,active,gla,egpf,m,22,2022-01-15t08:40:00.000,2022-01-15t08:40:00.000,2022-01-15t08:37:00.000,2022-01-15t08:37:00.000,2022-01-15t08:37:00.000,dub,eidw,1,5,112,2022-01-15t09:40:00.000,2022-01-15t09:13:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,,2022-01-15t09:14:00.000,2022-01-15t09:14:00.000,2022-01-15t09:14:00.000,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-16t08:40:00.000,2022-01-16t08:40:00.000,2022-01-16t08:45:00.000,2022-01-16t08:45:00.000,2022-01-16t08:45:00.000,dub,eidw,1,8,109,2022-01-16t09:40:00.000,2022-01-16t09:18:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,6.0,,,,,,,,,,
departure,active,gla,egpf,m,22,2022-01-17t08:30:00.000,2022-01-17t08:17:00.000,2022-01-17t08:27:00.000,2022-01-17t08:27:00.000,2022-01-17t08:27:00.000,dub,eidw,1,9,106,2022-01-17t09:30:00.000,2022-01-17t08:58:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,,2022-01-17t09:00:00.000,2022-01-17t09:00:00.000,2022-01-17t09:00:00.000,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-17t15:35:00.000,2022-01-17t15:35:00.000,2022-01-17t15:33:00.000,2022-01-17t15:33:00.000,2022-01-17t15:33:00.000,dub,eidw,1,7,104,2022-01-17t16:35:00.000,2022-01-17t16:10:00.000,ryanair,fr,ryr,5773,fr5773,ryr5773,,2022-01-17t16:12:00.000,2022-01-17t16:12:00.000,2022-01-17t16:12:00.000,,,,,,,
departure,active,gla,egpf,m,22,2022-01-18t08:40:00.000,2022-01-18t08:40:00.000,2022-01-18t08:38:00.000,2022-01-18t08:38:00.000,2022-01-18t08:38:00.000,dub,eidw,1,7,102,2022-01-18t09:40:00.000,2022-01-18t09:15:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,,,,,,,,,,,
departure,active,gla,egpf,m,22,2022-01-19t08:40:00.000,2022-01-19t08:40:00.000,2022-01-19t08:37:00.000,2022-01-19t08:37:00.000,2022-01-19t08:37:00.000,dub,eidw,1,2,108,2022-01-19t09:40:00.000,2022-01-19t09:12:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,,2022-01-19t09:14:00.000,2022-01-19t09:14:00.000,2022-01-19t09:14:00.000,,,,,,,
departure,active,gla,egpf,m,7b,2022-01-20t08:40:00.000,2022-01-20t08:40:00.000,2022-01-20t08:38:00.000,2022-01-20t08:38:00.000,2022-01-20t08:38:00.000,dub,eidw,1,5,112,2022-01-20t09:40:00.000,2022-01-20t09:10:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,,2022-01-20t09:11:00.000,2022-01-20t09:11:00.000,2022-01-20t09:11:00.000,,,,,,,
departure,active,gla,egpf,m,7b,2022-01-21t08:40:00.000,2022-01-21t08:40:00.000,2022-01-21t08:42:00.000,2022-01-21t08:42:00.000,2022-01-21t08:42:00.000,dub,eidw,1,3,106,2022-01-21t09:40:00.000,2022-01-21t09:21:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,3.0,2022-01-21t09:15:00.000,2022-01-21t09:15:00.000,2022-01-21t09:15:00.000,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-21t21:40:00.000,2022-01-21t21:40:00.000,2022-01-21t21:40:00.000,2022-01-21t21:40:00.000,2022-01-21t21:40:00.000,dub,eidw,1,3,102,2022-01-21t22:40:00.000,2022-01-21t22:12:00.000,ryanair,fr,ryr,5775,fr5775,ryr5775,,2022-01-21t22:14:00.000,2022-01-21t22:14:00.000,2022-01-21t22:14:00.000,,,,,,,
